2025-10-29 18:36:43 | BUY_FAILED   | 0            | Price: 1.16045 | SL: 1.15945 | TP: 1.16245 | Retcode: 10030
2025-10-29 18:39:42 | SELL         | 53833946180  | Price: 1.16025 | SL: 1.16125 | TP: 1.15825 | Retcode: 10009
2025-10-29 19:46:34 | SELL         | 53834301534  | Price: 1.16045 | SL: 1.16145 | TP: 1.15845 | Retcode: 10009
2025-10-29 19:47:35 | SELL         | 53834306633  | Price: 1.16038 | SL: 1.16138 | TP: 1.15838 | Retcode: 10009
2025-10-29 19:55:39 | BUY          | 53834352783  | Price: 1.16040 | SL: 1.15940 | TP: 1.16240 | Retcode: 10009
2025-10-29 19:56:39 | BUY          | 53834358201  | Price: 1.16043 | SL: 1.15943 | TP: 1.16243 | Retcode: 10009
2025-10-29 20:04:07 | BUY          | 53834399566  | Price: 1.16036 | SL: 1.15936 | TP: 1.16236 | Retcode: 10009
2025-10-29 20:05:08 | SELL         | 53834405201  | Price: 1.16028 | SL: 1.16128 | TP: 1.15828 | Retcode: 10009
2025-10-29 20:32:47 | BUY          | 53834563914  | Price: 1.16045 | SL: 1.15945 | TP: 1.16245 | Retcode: 10009
2025-10-29 20:47:45 | BUY          | 53834644908  | Price: 1.16034 | SL: 1.15934 | TP: 1.16234 | Retcode: 10009
2025-10-29 20:48:46 | SELL         | 53834650960  | Price: 1.16019 | SL: 1.16119 | TP: 1.15819 | Retcode: 10009
